year,region_code,province,registered_voters_loc,registered_voters_gen,registered_voters_ref,participation_rate,participation_rate15,participation_rate_loc,participation_ref,akp_gen,akp_15,chp_gen,chp_15,mhp_gen,mhp_15,hdp_gen,hdp_15,loc_mayors,mhp_loc,akp_loc,chp_loc,ref_yes,ref_no,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75
2004,TR612,Isparta,213618,,,,,83.5,,,,,,,,,,50,4,34,3,,,1.33,128,52,115,28,63,47,4.77,10,10,0,2,2,1,1,1,2,0,0,4,3,1,1,0,0,1
2005,TR612,Isparta,,,,,,,,,,,,,,,,,,,,,,1.41,116,68,129,44,61,57,3.81,13,3,0,4,4,2,1,1,1,0,0,0,0,1,1,0,0,0
2006,TR612,Isparta,,,,,,,,,,,,,,,,,,,,,,1.17,87,67,99,42,63,48,4.53,16,3,0,1,3,3,3,3,1,1,0,1,1,1,0,0,0,0
2007,TR612,Isparta,,271698,272318,88.5,,,77.4,3,,1,,1,,,,,,,,67.8,32.2,1.19,104,61,108,22,52,58,4.76,15,5,0,3,4,4,2,0,2,0,1,2,0,0,0,0,1,1
2008,TR612,Isparta,,,,,,,,,,,,,,,,,,,,,,1.17,110,56,105,23,51,44,4.35,13,5,0,3,1,2,4,1,0,2,0,1,2,0,1,1,0,0
2009,TR612,Isparta,240113,,,,,86.3,,,,,,,,,,51,10,27,10,,,1.36,106,81,107,32,59,59,3.86,14,2,0,3,3,2,3,1,0,2,0,1,0,0,1,0,0,0
2010,TR612,Isparta,,,298726,,,,84.3,,,,,,,,,,,,,57.5,42.5,1.24,114,72,136,21,54,37,3.91,13,4,0,4,0,2,4,2,0,1,0,2,0,1,0,1,0,0
2011,TR612,Isparta,,298187,,88.3,,,,2,,1,,1,,,,,,,,,,1.47,126,85,135,23,67,59,4.65,12,8,0,2,0,3,3,2,0,2,0,4,1,1,2,0,0,0
2012,TR612,Isparta,,,,,,,,,,,,,,,,,,,,,,1.56,144,82,168,26,47,50,6.52,18,9,0,2,3,4,5,3,0,1,0,1,1,3,3,1,0,0
2013,TR612,Isparta,,,,,,,,,,,,,,,,,,,,,,1.57,142,98,137,21,57,49,5.99,21,4,1,3,7,4,3,2,0,1,0,0,2,0,1,1,0,0
2014,TR612,Isparta,221574,,,,,90.4,,,,,,,,,,22,7,11,2,,,1.68,161,89,174,33,70,50,5.98,13,12,0,5,0,2,3,3,0,0,1,1,1,2,2,1,2,2
2015,TR612,Isparta,,304480,,87.1,87.5,,,2,2,1,1,1,1,0,0,,,,,,,1.49,146,87,128,31,67,49,4.28,14,4,0,3,3,1,2,3,1,1,0,1,1,0,0,0,0,2
2016,TR612,Isparta,,,,,,,,,,,,,,,,,,,,,,1.37,122,83,167,29,52,44,3.53,12,3,0,1,3,2,2,0,1,3,0,2,1,0,0,0,0,0
2017,TR612,Isparta,,,309263,,,,87.8,,,,,,,,,,,,,56,44,1.37,140,74,153,15,47,43,9.29,31,9,0,6,9,3,3,5,1,4,0,3,1,1,1,2,1,0
2018,TR612,Isparta,,312416,,89.3,,,,3,,0,,0,,0,,,,,,,,1.69,121,116,201,29,85,62,7.77,29,5,2,9,7,2,2,0,4,3,0,1,1,1,0,2,0,0
2019,TR612,Isparta,244827,,,,,84.8,,,,,,,,,,22,6,14,1,,,1.77,162,114,229,23,66,52,3.61,12,4,0,1,2,2,1,4,1,1,0,0,1,0,0,0,2,1
2000,TR613,Burdur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,2,0,0,0,0,1,1,0,1,2,0,0,0,0,0
2001,TR613,Burdur,,,,,,,,,,,,,,,,,,,,,,1.72,81,55,96,29,42,32,4.06,7,3,1,1,1,2,2,0,0,0,0,1,0,1,0,1,0,0
2002,TR613,Burdur,,173849,,89.1,,,,2,,1,,,,,,,,,,,,1.61,80,49,100,19,31,33,3.64,4,5,0,0,0,2,2,0,0,0,0,2,1,1,0,1,0,0
2003,TR613,Burdur,,,,,,,,,,,,,,,,,,,,,,1.73,94,45,97,23,48,36,7.25,11,7,0,2,2,2,2,0,0,3,0,1,1,0,4,1,0,0
2004,TR613,Burdur,121300,,,,,86.8,,,,,,,,,,30,2,20,2,,,1.5,80,45,89,18,39,42,5.63,10,4,0,3,1,1,1,0,1,1,0,0,1,1,0,0,2,0
2005,TR613,Burdur,,,,,,,,,,,,,,,,,,,,,,1.4,68,45,84,12,41,28,6.81,7,10,0,0,2,2,2,0,0,0,0,2,3,0,1,3,1,0
2006,TR613,Burdur,,,,,,,,,,,,,,,,,,,,,,1.47,73,40,81,34,30,34,7.59,12,7,1,1,2,2,1,0,2,2,0,3,0,2,0,1,0,1
2007,TR613,Burdur,,174264,174313,92.2,,,81.8,2,,1,,0,,,,,,,,62.5,37.5,1.33,87,41,71,12,34,31,5.98,11,4,0,1,3,1,2,1,1,0,0,0,1,1,0,1,1,0
2008,TR613,Burdur,,,,,,,,,,,,,,,,,,,,,,1.5,66,45,96,11,51,25,6.02,9,6,0,0,0,3,2,1,3,0,0,3,2,1,0,0,0,0
2009,TR613,Burdur,129464,,,,,90.3,,,,,,,,,,29,6,15,6,,,1.7,71,59,102,25,49,32,5.61,9,5,0,0,2,3,3,0,1,0,1,1,0,1,0,1,0,1
2010,TR613,Burdur,,,184987,,,,89.3,,,,,,,,,,,,,52.5,47.5,1.67,82,50,97,18,43,37,5.49,7,7,0,0,1,1,1,2,1,1,0,2,0,0,0,1,2,2
2011,TR613,Burdur,,186470,,91.5,,,,2,,1,,0,,,,,,,,,,1.63,77,58,106,19,50,26,6.28,12,4,0,0,4,2,1,3,0,2,0,1,1,0,1,0,0,1
2012,TR613,Burdur,,,,,,,,,,,,,,,,,,,,,,1.59,77,53,94,16,46,26,5.15,11,2,0,1,2,0,2,3,1,2,0,0,0,1,0,1,0,0
2013,TR613,Burdur,,,,,,,,,,,,,,,,,,,,,,1.62,91,48,98,19,52,29,6.65,13,4,0,2,2,2,3,1,1,2,0,0,2,1,0,0,0,1
2014,TR613,Burdur,124499,,,,,92.2,,,,,,,,,,14,2,9,3,,,1.49,84,50,78,15,51,27,6.61,10,7,0,1,1,1,2,1,1,3,1,0,0,0,0,3,1,2
2015,TR613,Burdur,,191550,,89.3,89.5,,,1,2,1,1,1,0,0,0,,,,,,,1.84,94,67,113,10,65,36,6.21,12,4,0,1,2,4,1,3,0,1,0,2,1,0,0,0,1,0
2016,TR613,Burdur,,,,,,,,,,,,,,,,,,,,,,1.47,67,46,97,20,46,34,8.47,15,7,0,2,3,2,3,2,1,2,0,2,1,0,1,0,2,1
2017,TR613,Burdur,,,193771,,,,89.5,,,,,,,,,,,,,51.7,48.3,1.4,78,41,108,15,43,26,7.22,15,4,0,6,1,1,1,2,3,1,0,1,1,0,0,0,1,1
2018,TR613,Burdur,,196380,,90.2,,,,2,,1,,0,,0,,,,,,,,1.59,80,67,126,6,43,28,8.23,18,4,0,2,3,6,3,3,1,0,0,2,1,1,0,0,0,0
2019,TR613,Burdur,134295,,,,,88.1,,,,,,,,,,15,6,6,2,,,1.66,84,60,125,10,56,37,6.29,12,5,0,0,5,2,3,2,0,0,0,1,0,1,0,0,1,2
2000,TR621,Adana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6,0,3,5,3,2,0,1,0,0,3,2,0,0,1,0,0
2001,TR621,Adana,,,,,,,,,,,,,,,,,,,,,,1.56,638,479,715,130,233,205,3.49,49,17,0,16,17,5,6,2,2,1,3,5,4,1,2,1,1,0
2002,TR621,Adana,,1194078,,74.3,,,,8,,6,,,,,,,,,,,,1.53,633,466,741,110,232,241,2.67,25,26,1,7,8,2,5,1,1,0,1,12,7,2,2,1,1,0
2003,TR621,Adana,,,,,,,,,,,,,,,,,,,,,,1.52,664,376,761,113,226,228,1.04,15,5,0,6,5,2,2,0,0,0,0,1,0,1,0,0,2,1
2004,TR621,Adana,1001872,,,,,70.7,,,,,,,,,,52,6,31,4,,,1.4,588,399,678,114,209,202,4.07,46,33,2,10,19,5,4,2,2,0,2,15,5,6,4,0,1,0
2005,TR621,Adana,,,,,,,,,,,,,,,,,,,,,,1.29,537,390,624,61,222,191,4.69,65,27,5,9,19,12,6,3,5,0,1,13,6,2,1,0,2,1
2006,TR621,Adana,,,,,,,,,,,,,,,,,,,,,,1.33,609,365,660,62,229,199,4.35,58,28,2,12,12,9,8,4,3,2,1,11,6,1,1,4,0,1
2007,TR621,Adana,,1189228,1192579,78.6,,,58.1,6,,4,,4,,,,,,,,60.9,39.1,1.43,667,412,702,71,269,183,3.5,50,20,1,12,11,4,7,6,0,2,1,4,2,1,2,0,1,1
2008,TR621,Adana,,,,,,,,,,,,,,,,,,,,,,1.51,679,472,713,82,267,269,3.87,54,24,0,8,11,12,8,8,2,2,0,10,5,3,0,1,1,0
2009,TR621,Adana,1188749,,,,,82.6,,,,,,,,,,36,10,17,5,,,1.73,721,557,895,92,312,285,3.82,55,23,0,14,11,12,12,4,2,0,1,8,7,4,1,0,2,0
2010,TR621,Adana,,,1386290,,,,72.8,,,,,,,,,,,,,43.7,56.3,1.66,769,507,840,83,279,286,5.59,75,41,1,18,14,13,9,12,5,3,2,23,11,4,1,0,0,0
2011,TR621,Adana,,1401712,,85.3,,,,6,,4,,3,,,,,,,,,,1.83,813,610,918,107,318,315,4.01,62,22,0,9,10,14,12,11,1,5,2,8,4,4,1,1,1,1
2012,TR621,Adana,,,,,,,,,,,,,,,,,,,,,,1.83,825,601,923,88,332,329,4.01,60,25,2,14,15,8,9,4,2,4,1,9,5,4,2,0,0,4
2013,TR621,Adana,,,,,,,,,,,,,,,,,,,,,,1.9,912,620,919,125,398,290,4.82,69,34,0,29,11,10,9,5,2,2,1,17,3,6,4,3,0,0
2014,TR621,Adana,1457671,,,,,88.1,,,,,,,,,,15,8,4,3,,,1.9,932,613,996,128,421,297,5.61,89,32,2,24,19,16,13,9,2,3,5,10,2,9,4,2,0,0
2015,TR621,Adana,,1477328,,84.9,85.7,,,5,6,4,4,3,3,2,1,,,,,,,1.99,961,637,1069,165,432,332,4.46,65,32,0,11,13,17,9,8,5,2,3,10,5,6,6,0,2,0
2016,TR621,Adana,,,,,,,,,,,,,,,,,,,,,,1.79,848,599,966,141,409,276,5.06,82,29,2,16,20,9,24,8,3,0,3,15,2,7,1,1,0,0
2017,TR621,Adana,,,1510122,,,,86.2,,,,,,,,,,,,,41.8,58.2,1.72,798,578,963,117,400,261,4.57,73,28,2,12,15,14,16,9,3,2,0,7,8,5,2,3,1,2
2018,TR621,Adana,,1524922,,86.1,,,,5,,4,,2,,2,,,,,,,,2,899,675,1206,100,433,307,4.6,67,35,0,16,18,9,9,7,4,4,1,7,10,6,4,3,2,2
2019,TR621,Adana,1535332,,,,,83.1,,,,,,,,,,15,7,3,4,,,2.22,1067,830,1385,117,413,305,4.04,61,29,1,7,10,14,13,14,1,1,2,10,8,2,5,1,0,1
2000,TR622,Mersin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,18,0,8,7,7,3,1,2,1,1,10,3,2,1,0,0,1
2001,TR622,Mersin,,,,,,,,,,,,,,,,,,,,,,1.68,538,380,614,95,207,171,2.74,30,11,0,7,8,5,5,5,0,0,0,3,4,0,2,2,0,0
2002,TR622,Mersin,,928757,,76.2,,,,5,,7,,,,,,,,,,,,1.67,501,394,671,106,190,165,2.38,23,13,0,4,9,6,2,1,1,0,0,5,4,1,0,1,2,0
2003,TR622,Mersin,,,,,,,,,,,,,,,,,,,,,,1.58,529,367,609,99,204,171,4.78,43,30,2,11,12,9,6,2,1,0,1,12,7,2,2,3,3,0
2004,TR622,Mersin,804760,,,,,75.5,,,,,,,,,,69,21,22,13,,,1.63,527,345,636,108,240,156,4.09,41,22,0,11,3,7,13,4,2,1,1,11,4,3,0,0,3,0
2005,TR622,Mersin,,,,,,,,,,,,,,,,,,,,,,1.65,563,366,642,117,239,178,5.01,53,25,1,13,7,10,9,3,2,3,0,11,2,3,0,3,0,0
2006,TR622,Mersin,,,,,,,,,,,,,,,,,,,,,,1.47,497,320,565,137,228,161,3.94,38,24,0,8,8,5,8,2,3,1,1,5,7,2,2,2,1,0
2007,TR622,Mersin,,1008906,1012023,80,,,60.8,4,,4,,4,,,,,,,,51.9,48.1,1.55,527,331,637,116,214,196,3.4,34,20,0,8,7,4,3,2,4,1,0,5,3,8,2,1,1,0
2008,TR622,Mersin,,,,,,,,,,,,,,,,,,,,,,1.72,538,444,682,154,265,199,5.94,62,33,0,13,11,10,9,6,3,3,1,11,4,2,1,0,2,3
2009,TR622,Mersin,932400,,,,,84.7,,,,,,,,,,54,28,17,6,,,1.83,629,420,773,138,249,226,4.56,53,21,0,5,9,9,10,11,5,4,1,10,4,0,1,2,1,2
2010,TR622,Mersin,,,1123115,,,,72.8,,,,,,,,,,,,,37.1,62.9,1.87,660,440,779,133,274,232,4.38,49,23,0,6,18,7,7,3,6,2,1,7,3,3,3,4,2,0
2011,TR622,Mersin,,1137834,,87,,,,4,,4,,2,,,,,,,,,,1.96,673,468,766,126,287,261,4.34,50,22,3,9,11,7,9,5,3,2,1,9,4,6,0,1,0,1
2012,TR622,Mersin,,,,,,,,,,,,,,,,,,,,,,1.9,663,453,792,152,292,199,5.37,61,29,3,10,10,11,10,7,6,3,2,12,2,5,2,1,4,1
2013,TR622,Mersin,,,,,,,,,,,,,,,,,,,,,,2.01,709,486,807,166,333,251,3.78,39,25,0,2,15,6,11,2,1,2,1,8,3,2,3,4,1,3
2014,TR622,Mersin,1186769,,,,,89.3,,,,,,,,,,13,8,1,3,,,2.07,745,495,893,153,353,261,6.7,76,39,3,16,13,16,14,10,1,2,4,14,4,2,2,3,4,6
2015,TR622,Mersin,,1210552,,86.6,87.4,,,3,4,3,4,3,2,2,1,,,,,,,2.12,833,491,853,164,384,262,5.82,74,27,2,14,11,14,8,11,8,6,3,9,4,3,1,3,2,2
2016,TR622,Mersin,,,,,,,,,,,,,,,,,,,,,,2,743,458,923,149,362,250,4.66,61,21,2,7,18,14,9,4,5,2,1,9,3,5,1,0,2,0
2017,TR622,Mersin,,,1246180,,,,88,,,,,,,,,,,,,36,64,2.08,789,552,876,165,388,277,5.27,72,22,1,16,15,12,10,5,8,5,1,3,3,7,2,6,0,0
2018,TR622,Mersin,,1270128,,88.5,,,,4,,3,,2,,2,,,,,,,,2.32,915,625,1069,173,397,295,4.27,53,24,0,8,9,13,8,7,5,3,1,7,4,5,2,3,0,2
2019,TR622,Mersin,1281570,,,,,85.2,,,,,,,,,,13,8,2,3,,,2.43,954,733,1162,161,388,272,4.98,70,21,0,14,17,12,8,6,4,9,1,6,4,2,2,4,1,1
2000,TR631,Hatay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,8,1,9,6,2,5,1,1,0,0,5,2,0,1,0,0,0
2001,TR631,Hatay,,,,,,,,,,,,,,,,,,,,,,1.25,396,216,352,76,133,123,2.25,18,11,0,6,4,4,2,0,1,1,2,5,1,1,1,0,1,0
2002,TR631,Hatay,,746949,,78.3,,,,5,,5,,,,,,,,,,,,1.19,397,208,346,86,129,103,1,8,5,0,3,2,3,0,0,0,0,1,1,2,0,1,0,0,0
2003,TR631,Hatay,,,,,,,,,,,,,,,,,,,,,,1.23,369,209,384,102,128,114,2.35,20,11,0,8,5,2,3,1,0,1,0,7,4,0,0,0,0,0
2004,TR631,Hatay,632062,,,,,74.2,,,,,,,,,,76,1,33,24,,,1.17,317,206,339,100,139,155,0.9,7,5,0,4,0,0,1,1,0,0,0,3,0,0,0,0,1,0
2005,TR631,Hatay,,,,,,,,,,,,,,,,,,,,,,1.17,305,218,395,104,152,108,2.15,21,8,0,6,4,2,2,5,1,0,1,3,2,0,0,0,1,0
2006,TR631,Hatay,,,,,,,,,,,,,,,,,,,,,,1.06,313,191,315,94,136,112,2.13,22,7,0,10,2,2,4,2,1,0,0,2,1,1,1,0,1,0
2007,TR631,Hatay,,786191,791281,82.7,,,70,5,,3,,2,,,,,,,,59.8,40.2,1.09,302,220,313,123,115,127,2.61,27,9,0,5,4,6,5,1,3,0,0,4,3,0,0,0,1,1
2008,TR631,Hatay,,,,,,,,,,,,,,,,,,,,,,1.21,342,223,361,136,186,133,2.14,20,10,0,8,3,2,3,2,0,2,1,4,3,2,0,0,0,0
2009,TR631,Hatay,701208,,,,,85.3,,,,,,,,,,76,16,18,29,,,1.22,361,230,414,110,155,124,2.73,30,9,3,3,7,5,5,1,6,0,0,3,2,2,1,1,0,0
2010,TR631,Hatay,,,922012,,,,83.2,,,,,,,,,,,,,47.8,52.2,1.37,385,284,447,132,197,160,2.73,34,6,2,6,10,6,4,3,2,1,0,3,1,0,2,0,0,0
2011,TR631,Hatay,,934254,,86.8,,,,5,,4,,1,,,,,,,,,,1.3,409,255,441,120,168,135,2.3,22,12,0,5,3,3,1,5,3,2,4,6,1,0,0,1,0,0
2012,TR631,Hatay,,,,,,,,,,,,,,,,,,,,,,1.38,440,294,439,149,182,159,2.98,36,8,3,12,1,9,5,3,2,1,2,5,0,0,1,0,0,0
2013,TR631,Hatay,,,,,,,,,,,,,,,,,,,,,,1.4,449,289,468,128,208,164,3.08,38,8,0,15,7,4,3,6,2,1,0,4,1,1,1,0,1,0
2014,TR631,Hatay,968877,,,,,89.1,,,,,,,,,,15,1,11,3,,,1.41,471,283,506,136,192,164,2.78,35,7,3,11,12,1,3,3,1,1,2,2,2,1,0,0,0,0
2015,TR631,Hatay,,987001,,85.6,87,,,5,5,4,4,1,1,0,0,,,,,,,1.45,470,289,560,132,185,163,2.75,26,16,0,10,3,2,7,3,0,0,2,4,4,3,2,0,0,0
2016,TR631,Hatay,,,,,,,,,,,,,,,,,,,,,,1.38,466,298,525,131,199,162,2.78,38,5,1,9,15,6,4,1,1,1,0,1,0,1,1,0,2,0
2017,TR631,Hatay,,,1016175,,,,87.8,,,,,,,,,,,,,45.6,54.4,1.44,504,341,544,135,207,134,2.81,32,12,0,8,7,2,6,6,1,2,0,3,3,3,0,1,1,1
2018,TR631,Hatay,,1041076,,88.9,,,,5,,4,,1,,1,,,,,,,,1.58,507,399,675,121,200,177,2.7,33,10,2,8,9,4,5,3,2,0,0,5,0,3,0,1,1,0
2019,TR631,Hatay,1067817,,,,,85.4,,,,,,,,,,15,3,8,4,,,1.82,555,514,830,143,243,175,2.16,26,9,0,7,5,4,4,4,1,1,1,6,0,2,0,0,0,0
2000,TR632,Kahramanmaraþ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,14,0,4,3,2,1,1,1,0,1,5,2,2,0,2,0,2
2001,TR632,Kahramanmaraþ,,,,,,,,,,,,,,,,,,,,,,1.19,264,155,173,46,95,97,4.67,25,19,1,7,9,4,1,1,1,1,2,9,4,1,2,1,0,0
2002,TR632,Kahramanmaraþ,,541615,,75.3,,,,7,,1,,,,,,,,,,,,1.18,316,132,156,47,103,96,4.31,23,18,2,6,7,3,1,1,1,2,3,7,1,1,3,2,0,1
2003,TR632,Kahramanmaraþ,,,,,,,,,,,,,,,,,,,,,,1.08,222,132,169,70,88,117,3.02,19,10,0,10,3,2,1,0,1,2,0,5,3,0,1,0,1,0
2004,TR632,Kahramanmaraþ,434472,,,,,72.4,,,,,,,,,,64,10,34,9,,,1.25,298,119,213,63,106,103,3.3,17,15,0,8,3,2,2,0,1,1,2,6,2,3,0,0,1,1
2005,TR632,Kahramanmaraþ,,,,,,,,,,,,,,,,,,,,,,1.19,282,122,202,61,131,98,3.06,19,11,0,4,5,3,4,0,1,2,1,7,1,0,1,0,0,0
2006,TR632,Kahramanmaraþ,,,,,,,,,,,,,,,,,,,,,,1.19,283,128,164,48,128,106,3.44,23,11,0,2,5,7,4,1,1,2,2,6,0,0,0,1,0,2
2007,TR632,Kahramanmaraþ,,573974,576729,82.5,,,69.1,6,,1,,1,,,,,,,,86,14,1.11,226,109,201,65,135,113,3,23,7,1,8,3,1,3,1,1,4,2,3,1,0,0,0,0,1
2008,TR632,Kahramanmaraþ,,,,,,,,,,,,,,,,,,,,,,1.16,250,128,207,70,141,123,3.64,21,16,1,1,1,2,4,2,4,6,1,9,2,2,0,0,2,0
2009,TR632,Kahramanmaraþ,481507,,,,,86.3,,,,,,,,,,62,7,33,7,,,1.37,296,186,238,86,165,126,2.13,13,9,0,2,3,3,0,2,2,1,0,3,2,1,3,0,0,0
2010,TR632,Kahramanmaraþ,,,653042,,,,83.8,,,,,,,,,,,,,79.4,20.6,1.43,295,189,237,80,171,133,3.94,26,15,0,9,2,3,4,2,1,5,2,10,1,1,0,0,1,0
2011,TR632,Kahramanmaraþ,,656579,,86.7,,,,6,,1,,1,,,,,,,,,,1.4,326,161,250,115,144,134,3.24,20,14,0,4,10,1,2,1,0,2,0,7,5,2,0,0,0,0
2012,TR632,Kahramanmaraþ,,,,,,,,,,,,,,,,,,,,,,1.35,283,176,230,108,154,125,5.1,32,22,3,3,8,5,3,5,2,2,3,7,2,6,2,0,2,0
2013,TR632,Kahramanmaraþ,,,,,,,,,,,,,,,,,,,,,,1.23,248,140,209,110,155,139,2.99,21,11,1,6,5,3,2,2,1,1,0,3,4,2,2,0,0,0
2014,TR632,Kahramanmaras,685013,,,,,90,,,,,,,,,,11,0,10,1,,,1.37,330,168,250,105,186,133,3.05,22,11,2,5,5,3,1,1,1,3,1,5,3,1,0,0,1,0
2015,TR632,Kahramanmaras,,696315,,84.8,87.1,,,6,7,0,0,2,1,0,0,,,,,,,1.35,309,173,249,144,159,134,2.93,22,10,1,5,5,3,2,2,2,2,2,4,1,3,0,0,0,0
2016,TR632,Kahramanmaras,,,,,,,,,,,,,,,,,,,,,,1.34,317,169,234,152,153,147,3.53,28,11,2,8,6,5,1,2,3,1,2,6,2,0,0,0,1,0
2017,TR632,Kahramanmaras,,,718874,,,,87.5,,,,,,,,,,,,,74,26,1.35,314,191,291,133,175,128,3.04,26,8,0,10,3,3,3,2,1,4,0,4,0,0,0,1,0,3
2018,TR632,Kahramanmaras,,738677,,89.5,,,,6,,1,,1,,0,,,,,,,,1.59,382,260,345,158,159,155,3.7,31,11,0,5,12,7,3,0,3,1,0,2,4,1,3,1,0,0
2019,TR632,Kahramanmaras,754604,,,,,86.9,,,,,,,,,,11,1,9,1,,,1.82,415,288,454,153,208,170,3.74,32,11,3,11,8,2,3,2,2,1,0,4,2,1,2,1,1,0
2000,TR633,Osmaniye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,TR633,Osmaniye,,,,,,,,,,,,,,,,,,,,,,0.95,83,45,69,27,40,44,7.24,14,16,0,7,2,1,1,2,1,0,0,11,1,1,2,0,1,0
2002,TR633,Osmaniye,,264169,,78.1,,,,3,,1,,,,,,,,,,,,1.12,88,60,92,34,47,40,8.09,15,19,0,8,1,3,1,0,1,1,0,12,5,1,1,0,0,0
2003,TR633,Osmaniye,,,,,,,,,,,,,,,,,,,,,,1.13,98,62,92,34,56,37,3.29,9,5,0,3,3,1,1,0,1,0,0,0,2,1,0,1,1,0
2004,TR633,Osmaniye,202297,,,,,76.3,,,,,,,,,,16,3,6,5,,,1.14,97,69,92,38,52,45,3.01,10,3,1,4,0,1,2,1,0,1,0,3,0,0,0,0,0,0
2005,TR633,Osmaniye,,,,,,,,,,,,,,,,,,,,,,0.91,72,56,79,27,39,38,3.2,10,4,0,3,3,0,2,1,0,0,0,2,2,0,0,0,0,0
2006,TR633,Osmaniye,,,,,,,,,,,,,,,,,,,,,,0.79,77,45,58,19,48,21,5.63,14,11,0,6,5,2,0,1,0,0,0,7,1,2,0,1,0,0
2007,TR633,Osmaniye,,260540,262476,85.6,,,68.6,2,,0,,2,,,,,,,,63.2,36.8,0.98,97,58,78,25,50,45,4.22,15,4,0,8,2,3,0,0,1,1,2,1,0,1,0,0,0,0
2008,TR633,Osmaniye,,,,,,,,,,,,,,,,,,,,,,1.05,110,56,77,33,61,42,2.83,9,4,1,3,1,1,1,1,0,1,0,3,0,1,0,0,0,0
2009,TR633,Osmaniye,225359,,,,,87,,,,,,,,,,16,9,7,0,,,1.11,123,61,99,30,61,45,3.2,7,8,0,3,1,0,1,1,0,1,0,6,1,0,1,0,0,0
2010,TR633,Osmaniye,,,308075,,,,82.9,,,,,,,,,,,,,53.4,46.6,1.27,113,78,109,31,60,64,2.94,10,4,1,2,2,2,3,0,0,0,0,3,1,0,0,0,0,0
2011,TR633,Osmaniye,,312974,,87.2,,,,2,,0,,2,,,,,,,,,,1.22,127,69,98,26,69,62,2.49,8,4,0,3,3,0,0,2,0,0,1,2,1,0,0,0,0,0
2012,TR633,Osmaniye,,,,,,,,,,,,,,,,,,,,,,1.44,134,102,120,17,102,69,4.09,15,5,0,2,4,3,2,3,1,0,0,2,2,0,0,1,0,0
2013,TR633,Osmaniye,,,,,,,,,,,,,,,,,,,,,,1.32,142,81,121,16,104,53,3.83,14,5,0,3,2,3,0,4,2,0,1,1,2,0,1,0,0,0
2014,TR633,Osmaniye,257019,,,,,89.6,,,,,,,,,,13,9,3,1,,,1.19,141,65,115,21,90,53,4.37,16,6,0,6,3,2,0,3,1,1,1,2,0,1,0,2,0,0
2015,TR633,Osmaniye,,336102,,84.8,85.1,,,2,2,0,0,2,2,0,0,,,,,,,1.13,144,73,116,16,83,50,3.33,11,6,0,1,4,2,1,0,2,1,0,2,1,0,2,1,0,0
2016,TR633,Osmaniye,,,,,,,,,,,,,,,,,,,,,,1.43,154,93,139,37,93,69,7.54,29,10,0,7,5,6,2,5,2,2,0,7,0,0,1,1,1,0
2017,TR633,Osmaniye,,,349472,,,,85.6,,,,,,,,,,,,,57.8,42.2,1.09,118,95,122,20,50,47,3.62,13,6,1,5,1,2,2,1,0,1,0,3,1,1,1,0,0,0
2018,TR633,Osmaniye,,357485,,86.4,,,,2,,1,,1,,0,,,,,,,,1.6,213,134,187,20,79,53,1.69,5,4,0,1,1,1,0,2,0,0,0,3,0,0,0,0,0,1
2019,TR633,Osmaniye,288765,,,,,83.1,,,,,,,,,,14,4,5,3,,,1.66,186,140,216,26,99,74,4.66,20,5,0,7,4,2,4,1,1,1,0,2,0,0,1,1,0,1
2000,TR711,Kýrýkkale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,2,5,2,0,0,0,0,0,0,0,0,0,1,0,0
2001,TR711,Kýrýkkale,,,,,,,,,,,,,,,,,,,,,,1.49,89,66,95,16,27,40,3.13,8,1,0,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0
2002,TR711,Kýrýkkale,,194168,,80.2,,,,3,,1,,,,,,,,,,,,1.38,79,58,98,17,33,28,2.44,7,0,0,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0
2003,TR711,Kýrýkkale,,,,,,,,,,,,,,,,,,,,,,1.64,95,51,126,12,38,51,8.06,9,14,1,2,3,1,1,1,0,0,1,8,2,2,0,1,0,0
2004,TR711,Kýrýkkale,179689,,,,,77,,,,,,,,,,27,1,17,3,,,1.73,109,57,130,22,36,34,2.81,7,1,0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0
2005,TR711,Kýrýkkale,,,,,,,,,,,,,,,,,,,,,,1.82,100,72,126,22,44,48,4.24,7,5,0,1,1,2,0,1,0,0,0,2,0,3,0,0,0,0
2006,TR711,Kýrýkkale,,,,,,,,,,,,,,,,,,,,,,1.75,109,53,100,34,54,53,7.09,16,4,0,6,5,2,1,1,0,1,0,1,0,1,0,1,0,0
